ID,Answer
0,士兵
1,《諸羅縣志》
2,袁晁
3,柏林陸軍學院
4,長盤勝負
5,孫銘武
6,1874年
7,西漢的版圖向西擴張
8,郵政機關
9,醜化對方
10,周星馳
11,
12,使用跨站式車站一定得在不同的設施樓層之間移動，因此除非是利用電梯、手扶梯等設施輔助，否則會對老年人、身障人士或攜帶大件行李的旅客造成相當程度的困擾，在無障礙環境
13,anticipation
14,2007年
15,
16,休伯特•漢弗萊
17,
18,經濟
19,80公里
20,愛爾蘭語
21,荷蘭
22,硫化物
23,塞爾維亞反對黨
24,1861年
25,拜占庭外交
26,拉丁文
27,猶太基督徒
28,1974年
29,提姆·柏內茲李
30,文化大革命
31,《名人傳》
32,灣仔
33,振州
34,一種無限制的、自私、而野蠻的競爭情況
35,1964年
36,新北市
37,白色
38,沒有
39,南人
40,南宋
41,萬尼瓦爾·布希
42,46億年
43,1070年
44,社會保障法規
45,第一教學樓
46,1929年
47,東德喜劇系列
48,1932年
49,
50,康熙帝
51,工學部第一教學樓。該樓為尚未與武漢大學合併之前的武漢水利電力大學
52,1960年代
53,亞歷山大一世被刺殺
54,米利都
55,基督教
56,預覽阿爾法版本
57,100萬
58,新北市教育主管機管
59,愛心聖誕大行動
60,
61,中國國民黨
62,中生代侏羅紀
63,阿拉貢國王卡洛斯三世
64,熱帶雨林氣候
65,沒能取得勝利
66,李宗仁
67,
68,噴射發動機
69,弘治十二年
70,印度
71,2010年
72,英國
73,氦
74,城堡
75,交通運輸部
76,奧林匹克體育場
77,侯寶林
78,羽柴秀吉
79,俾斯麥
80,金泳三
81,1958年
82,靈魂
83,科龍港
84,蓋爾人
85,四次重差觀測術
86,元封二年
87,隋文帝開皇九年四月，隋滅南陳後
88,佛教
89,1861年
90,德川家康
91,三吳地區
92,複合式裝甲是由數種化學特性極為不同的材料所組成的裝甲；鋼鐵和陶瓷
93,大躍進
94,武漢水利電力大學
95,蘇利南克利奧爾人
96,1934年
97,
98,奈都夫人
99,1949年
100,大象
101,1915年
102,1600年
103,
104,美國
105,芝諾比亞
106,沈器遠
107,四
108,佛學論書
109,北海道帝國大學
110,歐登堡
111,三天
112,1944年
113,曼努埃爾二世
114,巴夏禮
115,哈林河
116,孟加拉
117,傳統音樂
118,中原
119,荷蘭語
120,威廉·洛厄爾·普特南
121,主席
122,伊斯蘭
123,王樹民
124,刺殺
125,未標準化
126,瑞派克路
127,1939年
128,施里芬計劃
129,福建林家
130,運貨
131,
132,西人黨
133,2013年
134,臺北
135,查莫洛人
136,杭縣
137,蘇聯國旗
138,38
139,1939年
140,高速攝影、間諜氣球開發
141,點石齋畫報
142,南越地區
143,1988年
144,上吊方式
145,吉米卡特
146,水鐘
147,溥[UNK]
148,阿拉里克
149,德蘇戰爭
150,髒層
151,男性
152,1949年
153,就業保障制度
154,清光緒十七年
155,
156,國共內戰戰況失利
157,保護國獨立
158,乙醚
159,唐太宗
160,卡爾梅克人
161,1969年初
162,63位
163,副大法官，那個時代典型的裙帶關係。1468年，領受鐸品成為神父，然後在1471年，祝聖為天主教阿爾巴諾羅馬城郊教區主教
164,古希臘時代
165,斯瓦希里語
166,香港九龍半島東面的海灣
167,孫中山
168,農業
169,[UNK]
170,9月4日
171,1999年
172,《天淨沙》
173,
174,公元68年
175,趙佗
176,幾何學
177,岑智明
178,建立德意志帝國告終
179,公元前362年
180,強力政府
181,28歲
182,1948年
183,保加利亞
184,三大優點
185,10度
186,日本社會黨
187,聯合國
188,波士頓
189,1992年
190,網球
191,後箱館裁判所
192,明朝
193,文藝復興
194,2000年
195,2012年
196,考古
197,1914年英、德
198,森林
199,阿森納女子足球俱樂部
200,一黨制
201,
202,1920年
203,美元
204,多倫多
205,驅動列車
206,彌爾
207,反貪污特警隊
208,艾瑪·史東
209,連續函式的訊號
210,某些早期日本佛像設計
211,國王亞歷山大一世
212,法國
213,熱帶
214,新北市位處副熱帶季風氣候區
215,聯盟合作
216,
217,克孜勒
218,三分天災
219,悼詞
220,美觀
221,中部科學園區
222,西部地區
223,1982年
224,1428年
225,皇帝
226,斯洛伐克境內。整個山系面積19萬平方千米，是僅次於斯堪地那維亞山脈的歐洲第二大山系。喀爾巴阡山脈並非連續不斷，而是分成了幾個山群。它僅有少數山峰高於2500米
227,莫斯科
228,發明家
229,2006年
230,沒有
231,《人體器官移植條例》
232,賈似道
233,鄭芝龍舊部郭懷一
234,三倍
235,質量大於0.4太陽質量
236,颱風
237,2014年
238,1968年
239,世界第六
240,
241,武隆區
242,萬神廟
243,阿美族
244,黑死病
245,2013年
246,赫爾伯特·查普曼
247,據傳在與比提尼亞國王的性行為中處於被動地位
248,2001年
249,波士頓塞爾提克隊
250,溥[UNK]
251,副主席
252,決勝局必定是單數局
253,廣東省政府委員會
254,風之國度》
255,1951年
256,漢語拼音方案
257,1984年
258,地面車站
259,
260,法蘭西第二帝國
261,
262,海布里球場
263,夜間攔截任務上，二戰時期的使用經驗延伸出兩種發展路線。一種是利用小型雷達測距儀追蹤目標的距離，協助飛行員找到最佳射擊時機，提高一般飛行員的命中率
264,哥白尼日心說
265,濃度低時
266,光緒年間
267,明朝
268,1848年
269,1979年
270,1998年
271,共同民主黨
272,《南華早報》
273,惡臭
274,佛像
275,阿聯
276,交通基建
277,前線步兵師
278,田川氏
279,以天狼星在東方地平線的出現
280,自律心肌細胞喪失了收縮性，但它們和工作心肌細胞
281,1961年
282,德語地區
283,女神大橋
284,1237年
285,東羅馬
286,劉裕
287,
288,美國律師協會
289,1654年
290,清末
291,美川王
292,胡安·林茲
293,日本
294,1954年
295,兩種
296,孟懷玉
297,鈣離子
298,383年
299,迪尼奧
300,苻堅
301,火山活動
302,利奧三世
303,拉丁字母
304,要提升飛機的飛行安全，降低因為鋼纜或者是滑輪等裝置失效導致失去控制
305,丁基羥基甲苯
306,中緬大戰
307,斯德哥爾摩
308,第三紀中新世
309,中華民國
310,高麗時期
311,靳雲鵬
312,1958年
313,馬德里議定書
314,20%
315,曹魏故都智慧之旅
316,威廉港的貨櫃碼頭亞德港
317,布爾什維克革命
318,民主黨
319,彌爾
320,紅色
321,1928年
322,期貨合約
323,十多個
324,300美元
325,
326,何應欽的推薦，楊森於民國34年1月調任貴州省政府主席。楊森在貴州當政期間，提出了「建設新貴州」的口號，並大力發展體育事業
327,元世祖
328,燃油混合動力電動自行車
329,數學
330,亞熱帶季風氣候
331,經濟
332,目前沒有觀察到任何語言純[UNK]以力道來區分不同輔音
333,朱一貴
334,飼養家畜
335,失分
336,銃炮
337,1959年
338,1980年代
339,凱·艾維
340,東漢
341,1980年
342,希伯來文
343,第一心音
344,2010年
345,武漢
346,1868年
347,托土拉島
348,美國
349,倫敦大學學院與倫敦帝國學院合併的草議曝光，此提議因事前沒有進行足夠的諮詢而惹來廣泛的批評，倫大學院的教務長德里克·羅勃茲因而被逼取消這個計劃。2005年，倫大學院獲賦予獨立頒授學位
350,越野
351,岡仁波齊
352,1973年
353,突厥
354,三菱重工業長崎造船廠
355,法西斯
356,管理不善的困擾，而現如今民主制度的恢復
357,硫礦
358,丹尼索瓦人混血
359,漢文明
360,中國
361,2000年
362,蝸牛狀
363,布列斯特-立陶夫斯克
364,1955年
365,韓國
366,維京戈達島
367,1964年
368,史都華
369,1910年
370,中亞地區
371,沙阿摩訶末時期崛起
372,1958年
373,1928年
374,激進組織
375,巴爾的摩市
376,中華民國政府
377,社團部
378,早年違反了一次
379,電子郵件
380,孔子
381,楊浦區大連路
382,2005年
383,以隱性狀態非公開方式普遍進行，長期以來，中國對處決犯人一直採取保密的措施
384,貝拉明
385,50
386,雙循環泵
387,1809年
388,無法發展
389,民國32年
390,先使用大量優勢兵力向西擊敗法國然後再掉頭往東對付俄國
391,人文角度看，下薩克森邦幅員遼闊
392,盟旗制
393,
394,國家起源
395,路易·巴斯德
396,興大
397,宣統三年九月十九日
398,1991年
399,三國史記》
400,第二次工業革命
401,突厥語
402,哈雷阿卡拉國家公園
403,坎貝爾
404,8小時
405,樂壇女王
406,民國16年
407,國立廣東大學
408,亞伯拉罕諸教
409,六億七千多萬美金
410,妖怪
411,專家
412,中文
413,氧的逸度
414,非常混亂
415,阿爾泰語系
416,阿敏
417,信陽市
418,7000名
419,
420,質量
421,科學
422,林默娘
423,鮑德溫伯爵
424,周恩來組織
425,15米
426,蘇丹南部
427,雲騎尉
428,育苗
429,
430,太陽為主的研究機構轉為研究恆星
431,那拉氏
432,辛酉政變
433,銅的礦物
434,統一企業
435,連續的日數
436,生物學
437,陳誠
438,孫中山
439,與德國單獨媾和
440,德國工業
441,九一八事變
442,1978年
443,天皇
444,680.48
445,莫比爾
446,嘉義市
447,較大發展
448,肺呼氣機制
449,五角星
450,潘諾尼亞
451,航海工業
452,阿29
453,匿蹤性能較佳
454,
455,1919年
456,一條簡單的直線
457,昆明公交和昆明城巴
458,盟旗制
459,臺南
460,腓力二世
461,南緯30度
462,1867年
463,大滿貫男子單打比賽
464,中華人民共和國
465,保守派
466,網景公司
467,《全唐詩》
468,1911年
469,1982年
470,七年
471,奧地利
472,貝爾實驗室
473,梁朝偉
474,吳三連
475,1918年
476,米勒
477,1月8日
478,掃雷艇部隊
479,哈丹於遼東高麗一帶游擊
480,赦免權
481,民國15年
482,1988年
483,波你尼
484,東晉時期
485,線傳飛控
486,開城工業園區
487,烏孜別克人
488,2555公里
489,國共內戰
490,祖王
491,茲維亞德·加姆薩胡爾季阿
492,避免造成路口交通不暢
493,魚雷
494,荀子
495,明朝
496,1935年
497,雙北合作交流平台
498,電路傳導飛控命令
499,中國政法大學
500,瓜拿納
501,二戰時期
502,水冰
503,
504,民國4年12月25日
505,馬麗娜·甘巴
506,1972年
507,社會主義最終實現共產主義
508,貝爾根
509,
510,朱棣
511,移動傳輸網路
512,低稅賦
513,小選舉區制
514,科索沃
515,抗議活動
516,自由放任
517,綠色工業
518,四年
519,段祺瑞
520,喬治
521,中永和
522,1925年
523,蝸頂
524,1950年代
525,3
526,專門
527,2002年
528,水
529,海外進行軍事冒險
530,之後當第一個用戶嘗試儲存網頁時，就會出現編輯衝突
531,整理遺產
532,生殖器官
533,經濟建設
534,中華民國臨時約法》
535,鮮蝦腸粉
536,愛國教育
537,帕吉勒提河
538,西南美麗的地方
539,天」的至高無上
540,開羅
541,1932年
542,榮茂
543,1955年
544,多倫多運輸局
545,前一世紀
546,柵欄
547,1898年
548,法國
549,保羅•狄拉克
550,藥葛羅
